npsn,name,jenjang,provinsi,kabupaten,kecamatan,provinceCode,regencyCode,districtCode
20107250,SMAS PSKD MANDIRI,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Menteng,010000,016000,016002
20100198,SMAS SANTA THERESIA JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Menteng,010000,016000,016002
20108505,SMAS KRISTEN PEMBANGUNAN 2,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Gambir,010000,016000,016008
20100196,SMAS TAMAN MADYA 5 JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Cempaka Putih,010000,016000,016005
20100489,SMAS FRANSISKUS 1 JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Senen,010000,016000,016003
20108504,SMAS NASIONAL ANGLO,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Cempaka Putih,010000,016000,016005
20100211,SMAN 4 JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Gambir,010000,016000,016008
20100197,SMAS TARSISIUS 1 JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Gambir,010000,016000,016008
20108383,SMAS SANTA URSULA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Sawah Besar,010000,016000,016007
20100484,SMAS AT TAQWA JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Sawah Besar,010000,016000,016007
20100214,SMAS YAPERMAS JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Menteng,010000,016000,016002
20108507,SMAS SANTO BELLARMINUS JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Menteng,010000,016000,016002
20108499,SMAS DWISAKA JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Menteng,010000,016000,016002
20100486,SMAS BUNDA MULIA JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Gambir,010000,016000,016008
20108501,SMAS HATI SUCI,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Tanah Abang,010000,016000,016001
20100177,SMAS PGRI 14 DKI JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Gambir,010000,016000,016008
20100181,SMAS TAMAN MADYA I JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Kemayoran,010000,016000,016006
20100195,SMAS MUHAMMADIYAH 1 JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Senen,010000,016000,016003
20100216,SMAN 1 JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Sawah Besar,010000,016000,016007
20100191,SMAS KRISTEN KETAPANG 1 JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Gambir,010000,016000,016008
20112503,SMAS K CALVIN,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Kemayoran,010000,016000,016006
20100213,SMAS TRIWIBAWA JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Sawah Besar,010000,016000,016007
20100199,SMAN 68 JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Senen,010000,016000,016003
20100221,SMAN 25 JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Gambir,010000,016000,016008
20100190,SMAS KRISTEN KARUNIA JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Sawah Besar,010000,016000,016007
20100170,SMAS KANISIUS JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Menteng,010000,016000,016002
20100186,SMAS KRISTEN 2 BPK PENABUR,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Sawah Besar,010000,016000,016007
20108502,SMAS ISLAM SAID NA UM JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Tanah Abang,010000,016000,016001
20107185,SMAN 69 JAKARTA,SMA,D.K.I. Jakarta,Kab. Kepulauan Seribu,Kepulauan Seribu Utara,010000,010100,010102
20100505,SMAS ISLAM AL - JIHAD JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Johar Baru,010000,016000,016004
20100174,SMAS PERGURUAN NASIONAL JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Kemayoran,010000,016000,016006
20100483,SMAS PSKD 3 JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Senen,010000,016000,016003
20100175,SMAS ADVENT SALEMBA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Senen,010000,016000,016003
20100201,SMAN 77 JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Cempaka Putih,010000,016000,016005
20100217,SMAN 10 JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Sawah Besar,010000,016000,016007
20100490,SMAS PSKD 1 JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Senen,010000,016000,016003
20100215,SMAS YP IPPI PETOJO JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Gambir,010000,016000,016008
20107249,SMAS BUDI MULIA JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Sawah Besar,010000,016000,016007
20100185,SMAS KARTINI 1 JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Kemayoran,010000,016000,016006
20100189,SMAS KRISTEN KANAAN JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Kemayoran,010000,016000,016006
20108506,SMAS PGRI 15 JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Tanah Abang,010000,016000,016001
20100613,SMAS TARAKANITA 2,SMA,D.K.I. Jakarta,Kota Jakarta Utara,Penjaringan,010000,016100,016101
20109560,SMA SIS KELAPA GADING,SMA,D.K.I. Jakarta,Kota Jakarta Utara,Kelapa Gading,010000,016100,016105
20107374,SMA DARMA SATRIA PERSADA,SMA,D.K.I. Jakarta,Kota Jakarta Utara,Penjaringan,010000,016100,016101
20107398,SMAS WIJAYA KUSUMA JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Utara,Penjaringan,010000,016100,016101
20100795,SMAN 73 JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Utara,Cilincing,010000,016100,016106
20100604,SMA MAHATMA GADING,SMA,D.K.I. Jakarta,Kota Jakarta Utara,Kelapa Gading,010000,016100,016105
20100600,SMA ISLAM AL-AZHAR KELAPA GADING,SMA,D.K.I. Jakarta,Kota Jakarta Utara,Kelapa Gading,010000,016100,016105
20100803,SMAN 111 JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Utara,Penjaringan,010000,016100,016101
20100219,SMAN 24 JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Tanah Abang,010000,016000,016001
69755458,SMA PELANGI KASIH,SMA,D.K.I. Jakarta,Kota Jakarta Utara,Penjaringan,010000,016100,016101
69948873,SMA LENTERA KASIH,SMA,D.K.I. Jakarta,Kota Jakarta Utara,Tanjung Priok,010000,016100,016103
20100173,SMAS PASKALIS,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Kemayoran,010000,016000,016006
20107378,SMAS HARAPAN KASIH JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Utara,Penjaringan,010000,016100,016101
20100811,SMAN 41 JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Utara,Tanjung Priok,010000,016100,016103
20100628,SMAS BUDI AGUNG,SMA,D.K.I. Jakarta,Kota Jakarta Utara,Penjaringan,010000,016100,016101
20100631,SMAS KATOLIK DIAKONIA JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Utara,Penjaringan,010000,016100,016101
20100180,SMAS SUNDA KELAPA JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Menteng,010000,016000,016002
20107400,SMAS YAPPENDA,SMA,D.K.I. Jakarta,Kota Jakarta Utara,Tanjung Priok,010000,016100,016103
20100616,SMAS DON BOSCO 1 JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Utara,Kelapa Gading,010000,016100,016105
20100802,SMAN 110 JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Utara,Koja,010000,016100,016104
20100807,SMAN 15 JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Utara,Tanjung Priok,010000,016100,016103
20100184,SMAS MUHAMMADIYAH 14 JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Tanah Abang,010000,016000,016001
20100200,SMAN 7 JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Tanah Abang,010000,016000,016001
20100188,SMAS KRISTEN BETHEL JAKARTA,SMA,D.K.I. Jakarta,Kota Jakarta Pusat,Tanah Abang,010000,016000,016001
